ree2_mean,ree2_theory,ree2_low,ree2_high,test_result
56.40260718964818,50,54.83455872865972,57.97065565063664,True
127.54315472439748,50,124.18570142746854,130.90060802132643,True
237.11634421053012,50,233.33021296714045,240.90247545391978,True
373.9084081942783,50,369.4039025748676,378.41291381368904,True
542.1519009474812,50,536.3547540048122,547.9490478901502,True
746.6876225688382,50,740.0497857465467,753.3254593911296,True
984.7858318387084,50,977.1049243928269,992.46673928459,True
1236.8595037480197,50,1228.406919754229,1245.3120877418105,True
1546.3987654703774,50,1535.965787069461,1556.8317438712938,True
1875.819378019852,50,1864.570886845732,1887.0678691939718,True
2225.7890177923905,50,2214.4954722943817,2237.0825632903993,True
2631.3261741631327,50,2620.7321683061923,2641.920180020073,True
3053.2119110627996,50,3037.4068398106847,3069.0169823149145,True
3625.30182998907,50,3610.7231832913553,3639.8804766867847,True
4121.086713315298,50,4106.943320596247,4135.230106034349,True
4654.165244840725,50,4637.201597427822,4671.128892253628,True
5223.16603461167,50,5207.149513043417,5239.182556179922,True
5812.406941181644,50,5794.028492167079,5830.785390196208,True
6421.769824654214,50,6401.8338071802455,6441.705842128183,True
7093.486309688558,50,7071.978341460642,7114.994277916475,True
7785.523647184006,50,7764.620075469363,7806.42721889865,True
8497.647670454027,50,8476.024772699611,8519.270568208443,True
9244.025717126027,50,9219.99428035498,9268.057153897074,True
10035.064553028316,50,10007.034294214112,10063.09481184252,True
10877.418391472458,50,10852.767748314582,10902.069034630334,True
11942.606039116576,50,11917.31836337621,11967.893714856942,True
12820.370071669226,50,12790.02842728539,12850.711716053062,True
13733.963810716388,50,13702.285666197742,13765.641955235034,True
14680.64143289287,50,14652.48714507942,14708.79572070632,True
15680.946282201578,50,15647.334810702929,15714.557753700226,True
16709.38325738306,50,16678.92376696226,16739.842747803857,True
17754.158542274425,50,17723.344191262175,17784.972893286675,True
18827.364614594757,50,18794.340219276,18860.389009913513,True
19919.361332718214,50,19884.78435073639,19953.938314700037,True
21118.3350887408,50,21083.38469261113,21153.285484870474,True
22281.71863415543,50,22242.286790454826,22321.150477856034,True
23488.23660058813,50,23448.63880014007,23527.83440103619,True
25025.26544414245,50,24987.25445933075,25063.27642895415,True
26307.591935203705,50,26264.271601238954,26350.912269168457,True
27595.964243716848,50,27555.054725388898,27636.873762044797,True
28980.008936742248,50,28934.623918181078,29025.393955303418,True
30368.08804831782,50,30323.785276595318,30412.39082004032,True
31804.015741489606,50,31761.471887974676,31846.559595004535,True
33179.68498833449,50,33138.33049969567,33221.03947697331,True
34691.06990579542,50,34642.344260188656,34739.79555140218,True
36186.485732777335,50,36134.91202750816,36238.05943804651,True
37773.46112497867,50,37726.29412853358,37820.62812142376,True
39315.811276959095,50,39259.876937229456,39371.745616688735,True
40870.43275443304,50,40820.3483208775,40920.517187988575,True
42949.90779500697,50,42889.80743765836,43010.00815235558,True
